"","SA2_2016","Risky alcohol consumption","Current smoking","Inadequate physical activity","Inadequate diet","Overweight/obese","Risky alcohol consumption SD","Current smoking SD","Inadequate physical activity SD","Inadequate diet SD","Overweight/obese SD"
"1","601061034",0.0328161449807579,0.553069050087518,-0.392855130318518,1.23787035954235,1.22527603363211,0.343919982257316,0.401300481594761,0.541338939845174,0.609991303998027,0.591272960152065
"2","602011041",-1.20543550334072,0.592016365927038,1.39787628706099,0.202033005405059,-0.369996627986411,0.485089369691061,0.503400669056204,0.889179906171131,0.858854783432623,0.763372513605756
"3","505031098",-1.0633066154111,0.294482498281218,1.07457304156594,0.54774249159796,0.530179802566982,0.294806309317096,0.321505963785781,0.500015042576787,0.491085487178939,0.462026386663599
"4","206021111",-0.106112881474882,-0.268647158054531,-0.966734743235465,0.463070931871423,-1.34385369463927,0.321664072120504,0.407321298895717,0.417978618777234,0.518542722934939,0.429361378949038
"5","801091101",0.150686655227905,-1.46960551102757,-1.39355772373643,0.00220632850885632,-0.754957381931982,0.259909497257318,0.41122099827894,0.332045635358137,0.444263141478031,0.422371966018267
"6","127021514",-2.48830745273918,0.0333479787414115,1.78863480739373,-0.288865705099754,-0.170434048380999,0.350813606469484,0.36645380454728,0.560920770437575,0.557895593334165,0.501356576983456
"7","506021119",0.25013138685969,-0.167897026300001,-0.973517315970568,0.179907913120259,-0.980833452720564,0.271589720536372,0.352436519575328,0.398146186497384,0.497683090279878,0.438123869646766
"8","121031411",0.295305966937779,-1.91044003142083,-1.91056408533538,-1.47163570463554,-1.29241549049093,0.267026647808181,0.447597511045699,0.373520232571843,0.487341504691485,0.428149328173378
"9","601021011",-0.799214673753051,0.973857650116401,0.803648430142095,1.88631477582314,0.778919036659718,0.450550669463134,0.495319366128458,0.833054004493777,0.812241750977404,0.745667054286044
"10","405041124",0.126756366462897,0.67974620638392,1.18744495322696,1.47577721026911,1.02074332882458,0.301882002909929,0.331878916515331,0.527043738965702,0.537007719009271,0.503126067124911
